Designator,Mid X,Mid Y,Rotation,Layer
C1,34.3,30.25,90.0,top
C10,25.28,27.38,90.0,bottom
C11,23.63,24.92,0.0,bottom
C12,26.12,25.92,0.0,bottom
C13,29.514375,6.105,180.0,top
C14,7.45,12.445,90.0,top
C15,22.534375,6.325,90.0,top
C16,5.12,19.65,270.0,top
C17,7.42,17.17,270.0,top
C18,29.514375,8.725,180.0,top
C19,29.574375,2.035,180.0,top
C2,31.734,16.5345,90.0,top
C20,26.494375,10.145,90.0,top
C21,41.59,26.01,270.0,top
C22,42.94,26.01,270.0,top
C23,45.9,23.09,90.0,top
C24,52.19,22.15,90.0,top
C26,52.2,12.02,270.0,top
C27,45.87,20.45,180.0,top
C28,58.0,13.8,0.0,top
C3,22.39,32.67,0.0,bottom
C30,38.84,15.44,90.0,top
C31,61.88,15.84,270.0,top
C32,42.2,17.57,270.0,top
C33,31.41,22.76,270.0,top
C34,52.174967,45.85,90.0,top
C36,52.184967,35.72,270.0,top
C37,45.854967,44.15,180.0,top
C38,57.984967,37.5,0.0,top
C4,23.604438,23.865562,0.0,bottom
C40,38.75,34.14,180.0,top
C41,61.864967,39.54,270.0,top
C42,42.184967,41.27,270.0,top
C43,31.42,25.825,90.0,top
C44,37.56,22.825,270.0,top
C45,41.0,22.09,0.0,top
C46,41.14,20.675,0.0,top
C47,1.11,27.11,90.0,top
C48,24.82,21.37,90.0,top
C5,17.68,39.76,180.0,top
C6,22.43,26.33,0.0,bottom
C7,20.91,28.11,270.0,bottom
C8,19.14,27.28,0.0,bottom
C9,22.81,27.46,0.0,bottom
D1,64.47,16.04,90.0,top
D2,64.454967,39.74,90.0,top
FB1,39.82,23.605,0.0,top
H2,81.02,4.95,0.0,top
H3,65.02,30.95,0.0,top
H4,0.0,53.71,0.0,top
H5,0.0,4.95,0.0,top
LED1,5.772,32.61,180.0,top
MCU1,22.02,27.85,90.0,top
R1,32.92,38.83,180.0,top
R10,25.15,33.7,90.0,top
R11,16.07,25.2,180.0,top
R12,16.07,24.18,180.0,top
R13,26.404375,3.365,0.0,top
R14,29.574375,4.185,0.0,top
R15,31.994375,5.01,90.0,top
R16,21.644375,10.36,270.0,top
R17,24.104375,9.535,0.0,top
R18,49.09,12.2,0.0,top
R19,49.09,21.91,0.0,top
R20,54.46,22.74,270.0,top
R21,70.85,16.06,0.0,top
R22,54.46,11.45,90.0,top
R24,64.47,21.09,270.0,top
R25,41.63,12.45,180.0,top
R26,40.8,14.79,270.0,top
R27,39.94,8.8,270.0,top
R28,37.464529,9.6223,0.0,top
R29,36.46,15.9,270.0,top
R30,49.074967,35.9,0.0,top
R31,49.074967,45.61,0.0,top
R32,54.444967,46.44,270.0,top
R33,70.834967,39.76,0.0,top
R34,54.444967,35.15,90.0,top
R36,64.454967,44.79,270.0,top
R37,41.614967,36.15,180.0,top
R38,40.784967,38.49,270.0,top
R39,45.39,35.24,0.0,top
R4,31.764,18.965,90.0,top
R40,44.5677,32.764529,90.0,top
R41,38.29,31.76,0.0,top
R42,16.095,10.16,180.0,top
R43,10.845,10.15,0.0,top
R44,2.702,32.62,0.0,top
R45,26.55,21.43,270.0,top
R46,25.74,18.93,180.0,top
R6,15.07,39.76,180.0,top
R7,20.35,46.999966,270.0,top
R8,18.98,24.64,0.0,bottom
R9,24.02,33.69,90.0,top
RF1,45.525,13.61,180.0,top
RF2,45.509967,37.31,180.0,top
U1,30.77,33.3,180.0,top
